time,in,out
1.721670547548111645e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.721770561236814538e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.721870574925517431e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.721970588614220032e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.722070602302922925e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.722170615991625818e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.722270629680328420e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.722370643369031313e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.722470657057734206e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.722570670746436808e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.722670684435139701e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.722770698123842594e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.722870711812545196e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.722970725501248089e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.723070739189950982e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.723170752878653584e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.723270766567356477e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.723370780256059370e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.723470793944761972e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.723570807633464865e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.723670821322167758e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.723770835010870360e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.723870848699573253e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.723970862388276146e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.724070876076978748e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.724170889765681641e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.724270903454384534e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.724370917143087136e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.724470930831790029e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.724570944520492922e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.724670958209195524e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.724770971897898417e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.724870985586601309e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.724970999275303911e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.725071012964006804e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.725171026652709697e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.725271040341412299e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.725371054030115192e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.725471067718818085e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.725571081407520687e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.725671095096223580e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.725771108784926182e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.725871122473629075e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.725971136162331968e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.726071149851034570e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.726171163539737463e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.726271177228440356e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.726371190917142958e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.726471204605845851e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.726571218294548744e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.726671231983251346e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.726771245671954239e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.726871259360657132e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.726971273049359734e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.727071286738062627e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.727171300426765520e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.727271314115468122e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.727371327804171015e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.727471341492873908e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.727571355181576509e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.727671368870279402e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.727771382558982295e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.727871396247684897e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.727971409936387790e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.728071423625090683e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.728171437313793285e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.728271451002496178e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.728371464691199071e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.728471478379901673e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.728571492068604566e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.728671505757307459e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.728771519446010061e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.728871533134712954e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.728971546823415847e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.729071560512118449e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.729171574200821342e+05,2.000000000000000042e-02,0.000000000000000000e+00
1.729271587889524235e+05,2.146637832200559357e-02,0.000000000000000000e+00
1.729371601578226837e+05,2.384765662444849818e-02,0.000000000000000000e+00
1.729471615266929730e+05,2.622893492689833128e-02,0.000000000000000000e+00
1.729571628955632623e+05,2.861021322934816091e-02,0.000000000000000000e+00
1.729671642644335225e+05,2.999999999999999889e-02,0.000000000000000000e+00
1.729771656333038118e+05,2.999999999999999889e-02,0.000000000000000000e+00
1.729871670021741011e+05,2.999999999999999889e-02,0.000000000000000000e+00
1.729971683710443613e+05,2.999999999999999889e-02,0.000000000000000000e+00
1.730071697399146506e+05,2.999999999999999889e-02,0.000000000000000000e+00
1.730171711087849399e+05,2.999999999999999889e-02,0.000000000000000000e+00
1.730271724776552001e+05,2.999999999999999889e-02,0.000000000000000000e+00
1.730371738465254894e+05,2.999999999999999889e-02,0.000000000000000000e+00
1.730471752153957787e+05,2.999999999999999889e-02,0.000000000000000000e+00
1.730571765842660388e+05,2.999999999999999889e-02,0.000000000000000000e+00
1.730671779531363281e+05,2.999999999999999889e-02,0.000000000000000000e+00
1.730771793220065883e+05,2.999999999999999889e-02,0.000000000000000000e+00
1.730871806908768776e+05,2.999999999999999889e-02,0.000000000000000000e+00
1.730971820597471669e+05,2.999999999999999889e-02,0.000000000000000000e+00
1.731071834286174271e+05,2.999999999999999889e-02,0.000000000000000000e+00
1.731171847974877164e+05,2.999999999999999889e-02,0.000000000000000000e+00
