time,in,out
9.458372376438726860e+03,1.111712931618058162e-02,1.000000000000000000e+03
9.468379146919431150e+03,3.931064196467063537e-02,1.000000000000000000e+03
9.478385917400135440e+03,2.111651381793556298e-02,1.000000000000000000e+03
9.488392687880839730e+03,2.853880716439975360e-02,1.000000000000000000e+03
9.498399458361544021e+03,2.160054163845597994e-02,1.000000000000000000e+03
9.508406228842248311e+03,2.840622884224831141e-02,1.000000000000000000e+03
9.518412999322952601e+03,-5.054163845635839536e-03,1.000000000000000000e+03
9.528419769803656891e+03,-7.160460392686219047e-03,1.000000000000000000e+03
9.538426540284359362e+03,-1.285308056871872426e-02,1.000000000000000000e+03
9.548433310765063652e+03,3.393857327504190557e-03,1.000000000000000000e+03
9.558440081245767942e+03,2.000000000000000042e-02,1.000000000000000000e+03
9.568446851726472232e+03,2.889370345294446640e-02,1.000000000000000000e+03
9.578453622207176522e+03,1.327826675694086453e-02,1.000000000000000000e+03
9.588460392687880812e+03,4.329414661168064921e-03,1.000000000000000000e+03
9.598467163168585103e+03,3.369606696620890823e-02,1.000000000000000000e+03
9.608473933649289393e+03,1.010426540284242898e-02,1.000000000000000000e+03
9.618480704129993683e+03,-8.724072136392349922e-03,1.000000000000000000e+03
9.628487474610697973e+03,2.405010155720810686e-02,1.000000000000000000e+03
9.638494245091402263e+03,-1.000000000000000021e-02,1.000000000000000000e+03
9.648501015572106553e+03,-6.811719086594662798e-03,1.000000000000000000e+03
9.658507786052809024e+03,5.686772942696650263e-02,1.000000000000000000e+03
9.668514556533513314e+03,1.242721733243343230e-02,1.000000000000000000e+03
9.678521327014217604e+03,-9.042654028435207977e-03,1.000000000000000000e+03
9.688528097494921894e+03,5.880162491536491606e-03,1.000000000000000000e+03
9.698534867975626184e+03,-1.260460392687855376e-02,1.000000000000000000e+03
9.708541638456330475e+03,-2.754163845633047364e-02,1.000000000000000000e+03
9.718548408937034765e+03,-2.999999999999999889e-02,1.000000000000000000e+03
9.728555179417739055e+03,-6.162983935494345533e-03,1.000000000000000000e+03
9.738561949898443345e+03,1.556194989844334603e-02,1.000000000000000000e+03
9.748568720379147635e+03,4.812580784142815246e-03,1.000000000000000000e+03
9.758575490859850106e+03,-1.915098171970021010e-02,1.000000000000000000e+03
9.768582261340554396e+03,-5.005847233339657393e-03,1.000000000000000000e+03
9.778589031821258686e+03,2.999999999999999889e-02,1.000000000000000000e+03
9.788595802301962976e+03,2.740419769803702221e-02,1.000000000000000000e+03
9.798602572782667266e+03,1.479485443466546646e-02,1.000000000000000000e+03
9.808609343263371557e+03,4.348905438952594890e-03,1.000000000000000000e+03
9.818616113744075847e+03,1.938388625592415287e-02,1.000000000000000000e+03
9.828622884224780137e+03,1.186865267434041027e-02,1.000000000000000000e+03
9.838629654705484427e+03,3.771034652551117500e-02,1.000000000000000000e+03
