Calculating Current Offset...
Current Offset: 5.91
Time,PWM,Throttle,Current,Error,PID_P,PID_D,PID_I,PID
19799,1208,1946,-2.13,5.13,512.77,1.01,232.23,746.00
19814,1214,1318,4.10,-1.10,-109.79,-0.83,228.93,118.31
19829,1214,1341,3.85,-0.85,-85.38,0.03,226.37,141.03
19844,1215,1552,1.78,1.22,122.14,0.28,230.03,352.45
19859,1214,1820,-0.78,3.78,378.49,0.34,241.39,620.22
19873,1209,1163,5.68,-2.68,-268.48,-0.92,233.33,-36.07
19889,1214,1282,4.46,-1.46,-146.41,0.15,228.94,82.68
19904,1215,1454,2.76,0.24,24.49,0.23,229.68,254.39
19918,1215,1543,1.90,1.10,109.94,0.12,232.98,343.03
19934,1215,1093,6.30,-3.30,-329.52,-0.55,223.09,-106.98
19948,1214,1788,-0.54,3.54,354.08,0.98,233.71,588.77
19963,1215,1785,-0.42,3.42,341.87,-0.02,243.97,585.82
19979,1208,1594,1.53,1.47,146.56,-0.24,248.36,394.68
19993,1215,1574,1.78,1.22,122.14,-0.03,252.03,374.14
20008,1215,1477,2.76,0.24,24.49,-0.13,252.76,277.12
20023,1214,1415,3.37,-0.37,-36.55,-0.08,251.67,215.04
20038,1215,1401,3.49,-0.49,-48.75,-0.02,250.20,201.43
20052,1208,1261,4.83,-1.83,-183.03,-0.19,244.71,61.49
20068,1215,1721,0.31,2.69,268.63,0.56,252.77,521.97
20083,1214,1893,-1.27,4.27,427.32,0.21,265.59,693.12
20098,1214,1263,4.95,-1.95,-195.24,-0.83,259.74,63.67
20113,1215,1296,4.59,-1.59,-158.62,0.05,254.98,96.41
20127,1208,1681,0.80,2.20,219.80,0.54,261.57,481.91
20143,1215,1713,0.56,2.44,244.21,0.03,268.90,513.14
20158,1215,1141,6.17,-3.17,-317.31,-0.75,259.38,-58.68
20172,1215,1384,3.73,-0.73,-73.17,0.35,257.18,184.36
20188,1215,1507,2.51,0.49,48.90,0.15,258.65,307.70
20202,1209,1584,1.78,1.22,122.14,0.10,262.31,384.56
20217,1214,1172,5.81,-2.81,-280.69,-0.54,253.89,-27.33
20233,1214,1303,4.46,-1.46,-146.41,0.17,249.50,103.26
20247,1215,1323,4.22,-1.22,-122.00,0.03,245.84,123.88
20262,1215,1571,1.78,1.22,122.14,0.33,249.51,371.97
20277,1209,1159,5.81,-2.81,-280.69,-0.54,241.08,-40.14
20292,1215,1089,6.42,-3.42,-341.72,-0.08,230.83,-110.97
20307,1214,1796,-0.54,3.54,354.08,0.93,241.46,596.46
20322,1214,1806,-0.54,3.54,354.08,0.00,252.08,606.15
20337,1215,1627,1.29,1.71,170.97,-0.24,257.21,427.93
20352,1209,1557,2.02,0.98,97.73,-0.10,260.14,357.77
20367,1215,1434,3.24,-0.24,-24.34,-0.16,259.41,234.90
20382,1215,1509,2.51,0.49,48.90,0.10,260.88,309.87
20397,1215,1372,3.85,-0.85,-85.38,-0.18,258.31,172.76
20412,1215,1357,3.98,-0.98,-97.58,-0.02,255.39,157.79
20426,1214,1971,-2.01,5.01,500.56,0.85,270.40,771.82
20442,1215,1897,-1.15,4.15,415.11,-0.11,282.86,697.86
20457,1209,1482,3.00,0.00,0.07,-0.55,282.86,282.38
20471,1214,1080,6.91,-3.91,-390.55,-0.56,271.14,-119.97
20487,1215,1824,-0.42,3.42,341.87,0.92,281.40,624.18
20501,1215,1846,-0.54,3.54,354.08,0.02,292.02,646.12
20516,1214,1693,1.05,1.95,195.39,-0.21,297.88,493.06
20532,1208,1598,2.02,0.98,97.73,-0.12,300.81,398.42
20546,1201,1475,3.24,-0.24,-24.34,-0.17,300.08,275.57
20561,1215,1512,2.88,0.12,12.28,0.05,300.45,312.78
20576,1215,1399,3.98,-0.98,-97.58,-0.15,297.53,199.80
20591,1214,1296,4.95,-1.95,-195.24,-0.13,291.67,96.30
20605,1195,1567,2.27,0.73,73.32,0.38,293.87,367.57
20621,1215,1720,0.80,2.20,219.80,0.18,300.46,520.44
20636,1215,1349,4.46,-1.46,-146.41,-0.49,296.07,149.17
20651,1214,1219,5.68,-2.68,-268.48,-0.16,288.01,19.37
20666,1201,1639,1.53,1.47,146.56,0.55,292.41,439.52
20680,1209,1706,0.92,2.08,207.59,0.09,298.64,506.32
20696,1215,1284,5.07,-2.07,-207.45,-0.52,292.42,84.45
20711,1215,1266,5.20,-2.20,-219.65,-0.02,285.83,66.16
20725,1201,1410,3.73,-0.73,-73.17,0.21,283.63,210.67
20741,1215,1609,1.78,1.22,122.14,0.24,287.30,409.68
20755,1209,1260,5.20,-2.20,-219.65,-0.49,280.71,60.56
20770,1215,1267,5.07,-2.07,-207.45,0.02,274.48,67.05
20786,1215,1311,4.59,-1.59,-158.62,0.06,269.72,111.17
20800,1214,1696,0.80,2.20,219.80,0.54,276.32,496.66
20815,1215,1048,7.15,-4.15,-414.97,-0.85,263.87,-151.94
20830,1208,1817,-0.42,3.42,341.87,1.01,274.13,617.00
20845,1201,1838,-0.54,3.54,354.08,0.02,284.75,638.84
20860,1215,1673,1.17,1.83,183.18,-0.23,290.24,473.19
20875,1214,1603,1.90,1.10,109.94,-0.10,293.54,403.38
20890,1215,1493,3.00,0.00,0.07,-0.15,293.54,293.47
20904,1200,1606,1.90,1.10,109.94,0.16,296.84,406.93
20920,1214,1370,4.22,-1.22,-122.00,-0.29,293.18,170.89
20935,1208,1304,4.83,-1.83,-183.03,-0.08,287.69,104.58
20950,1215,1928,-1.27,4.27,427.32,0.81,300.51,728.64
20965,1201,2000,-2.86,5.86,586.01,0.21,318.09,904.31
20979,1215,1416,3.98,-0.98,-97.58,-0.98,315.16,216.60
20995,1215,1389,4.22,-1.22,-122.00,-0.03,311.50,189.48
21010,1209,1436,3.73,-0.73,-73.17,0.07,309.31,236.20
21024,1201,1547,2.63,0.37,36.69,0.16,310.41,347.26
21040,1215,1296,5.07,-2.07,-207.45,-0.31,304.19,96.43
21054,1215,1391,4.10,-1.10,-109.79,0.14,300.89,191.24
21069,1215,1488,3.12,-0.12,-12.13,0.13,300.53,288.52
21084,1195,1714,0.92,2.08,207.59,0.29,306.76,514.64
21099,1215,1254,5.44,-2.44,-244.07,-0.60,299.43,54.76
21114,1215,1235,5.56,-2.56,-256.27,-0.02,291.74,35.45
21129,1215,1441,3.49,-0.49,-48.75,0.28,290.28,241.80
21144,1215,1767,0.31,2.69,268.63,0.42,298.34,567.39
21158,1209,1334,4.59,-1.59,-158.62,-0.61,293.58,134.35
21174,1215,1367,4.22,-1.22,-122.00,0.05,289.92,167.97
21189,1215,1527,2.63,0.37,36.69,0.21,291.02,327.93
21203,1215,1919,-1.15,4.15,415.11,0.54,303.48,719.13
21219,1215,1188,6.05,-3.05,-305.10,-0.90,294.32,-11.68
21233,1209,1356,4.34,-1.34,-134.20,0.24,290.30,156.34
21249,1215,1465,3.24,-0.24,-24.34,0.14,289.57,265.36
21264,1215,1691,1.05,1.95,195.39,0.29,295.43,491.11
21278,1215,1306,4.83,-1.83,-183.03,-0.54,289.94,106.37
21294,1215,1225,5.56,-2.56,-256.27,-0.09,282.25,25.88
21308,1209,1394,3.85,-0.85,-85.38,0.24,279.69,194.56
21323,1214,1681,1.05,1.95,195.39,0.37,285.55,481.31
21339,1215,1044,7.27,-4.27,-427.17,-0.78,272.73,-155.22
21353,1215,1825,-0.42,3.42,341.87,1.10,282.99,625.96
21368,1215,1646,1.41,1.59,158.76,-0.24,287.75,446.27
21383,1215,1651,1.41,1.59,158.76,0.00,292.52,451.28
21398,1215,1567,2.27,0.73,73.32,-0.11,294.72,367.92
21413,1209,1545,2.51,0.49,48.90,-0.03,296.18,345.05
21428,1215,1445,3.49,-0.49,-48.75,-0.13,294.72,245.84
00,-0.10,291.06,168.97
21443,1215,1368,4.22,-1.22,-122.21457,1215,1415,3.73,-0.73,-73.17,0.07,288.87,215.77
21473,1214,1275,5.07,-2.07,-207.45,-0.17,282.64,75.03
21487,1209,1697,0.92,2.08,207.59,0.59,288.87,497.06
21502,1215,1828,-0.30,3.30,329.66,0.16,298.76,628.59
21518,1215,1297,4.95,-1.95,-195.24,-0.66,292.90,97.01
21532,1215,1241,5.44,-2.44,-244.07,-0.07,285.58,41.44
21548,1214,1599,1.90,1.10,109.94,0.44,288.88,399.26
21562,1208,1627,1.66,1.34,134.35,0.03,292.91,427.29
21577,1215,1077,7.03,-4.03,-402.76,-0.72,280.83,-122.65
21593,1215,1846,-0.54,3.54,354.08,0.95,291.45,646.47
21607,1201,1654,1.41,1.59,158.76,-0.28,296.21,454.70
21622,1215,1659,1.41,1.59,158.76,0.00,300.97,459.74
21637,1208,1576,2.27,0.73,73.32,-0.11,303.17,376.38
21652,1214,1540,2.63,0.37,36.69,-0.05,304.28,340.92
21667,1214,1416,3.85,-0.85,-85.38,-0.16,301.71,216.18
21682,1215,1438,3.61,-0.61,-60.96,0.03,299.89,238.96
21697,1214,1361,4.34,-1.34,-134.20,-0.10,295.86,161.56
21711,1208,1974,-1.64,4.64,463.94,0.85,309.78,774.57
21727,1201,1333,4.71,-1.71,-170.83,-0.79,304.65,133.03
21742,1214,1316,4.83,-1.83,-183.03,-0.02,299.16,116.11
21756,1215,1499,3.00,0.00,0.07,0.26,299.16,299.50
21772,1214,1083,7.03,-4.03,-402.76,-0.50,287.08,-116.18
21786,1209,1840,-0.42,3.42,341.87,1.06,297.34,640.27
21801,1214,1862,-0.54,3.54,354.08,0.02,307.96,662.05
21817,1215,1683,1.29,1.71,170.97,-0.23,313.09,483.83
21831,1215,1588,2.27,0.73,73.32,-0.14,315.29,388.46
21847,1201,1590,2.27,0.73,73.32,0.00,317.49,390.80
21861,1215,1542,2.76,0.24,24.49,-0.07,318.22,342.64
21876,1214,1392,4.22,-1.22,-122.00,-0.20,314.56,192.37
21892,1208,1351,4.59,-1.59,-158.62,-0.05,309.80,151.14
21906,1201,1497,3.12,-0.12,-12.13,0.21,309.44,297.51
21921,1215,1962,-1.40,4.40,439.53,0.60,322.63,762.75
21936,1214,1232,5.81,-2.81,-280.69,-0.96,314.20,32.56
21951,1215,1350,4.59,-1.59,-158.62,0.16,309.45,150.99
21966,1195,1572,2.39,0.61,61.11,0.29,311.28,372.68
21981,1215,1901,-0.78,3.78,378.49,0.42,322.63,701.55
21996,1215,1131,6.78,-3.78,-378.34,-1.01,311.28,-68.07
22010,1214,1373,4.34,-1.34,-134.20,0.35,307.26,173.40
22026,1215,1331,4.71,-1.71,-170.83,-0.05,302.13,131.26
22040,1209,1552,2.51,0.49,48.90,0.31,303.60,352.82
22055,1215,1025,7.64,-4.64,-463.79,-0.68,289.69,-174.79
22071,1214,1855,-0.54,3.54,354.08,1.02,300.31,655.41
22085,1201,1852,-0.42,3.42,341.87,-0.02,310.56,652.42
22100,1215,1648,1.66,1.34,134.35,-0.28,314.59,448.67
22115,1208,1627,1.90,1.10,109.94,-0.03,317.89,427.80
22130,1215,1505,3.12,-0.12,-12.13,-0.16,317.53,305.23
22146,1200,1542,2.76,0.24,24.49,0.05,318.26,342.80
22160,1215,1455,3.61,-0.61,-60.96,-0.12,316.43,255.35
22175,1214,1340,4.71,-1.71,-170.83,-0.15,311.31,140.34
22190,1208,1750,0.68,2.32,232.01,0.54,318.27,550.81
22205,1201,1983,-1.52,4.52,451.73,0.29,331.82,783.85
22220,1214,1279,5.44,-2.44,-244.07,-0.93,324.50,79.51
22235,1215,1348,4.71,-1.71,-170.83,0.10,319.38,148.65
22250,1215,1595,2.27,0.73,73.32,0.33,321.57,395.22
22264,1195,1773,0.56,2.44,244.21,0.24,328.90,573.36
22280,1214,1088,7.27,-4.27,-427.17,-0.84,316.09,-111.93
22295,1210,1869,-0.42,3.42,341.87,1.03,326.34,669.24
22309,1215,1702,1.29,1.71,170.97,-0.24,331.47,502.20
22325,1201,1707,1.29,1.71,170.97,0.00,336.60,507.57
22339,1214,1611,2.27,0.73,73.32,-0.14,338.80,411.98
22354,1214,1576,2.63,0.37,36.69,-0.05,339.90,376.55
22369,1209,1414,4.22,-1.22,-122.00,-0.21,336.24,214.03
22384,1215,1423,4.10,-1.10,-109.79,0.02,332.95,223.17
22400,1215,1243,5.81,-2.81,-280.69,-0.21,324.53,43.62
22414,1215,1839,-0.05,3.05,305.25,0.84,333.68,639.77
22429,1215,1344,4.83,-1.83,-183.03,-0.65,328.19,144.51
22445,1209,1327,4.95,-1.95,-195.24,-0.02,322.34,127.08
22459,1214,1472,3.49,-0.49,-48.75,0.21,320.87,272.33
22474,1214,1130,6.78,-3.78,-378.34,-0.44,309.52,-69.26
22489,1214,1000,9.71,-6.71,-671.31,-0.39,289.38,-382.32
22504,1215,1301,4.83,-1.83,-183.03,0.65,283.89,101.51
22519,1209,1358,4.22,-1.22,-122.00,0.08,280.23,158.32
22534,1215,1442,3.37,-0.37,-36.55,0.11,279.14,242.70
22549,1214,1416,3.61,-0.61,-60.96,-0.03,277.31,216.31
22563,1215,1351,4.22,-1.22,-122.00,-0.09,273.65,151.56
22579,1214,1385,3.85,-0.85,-85.38,0.05,271.09,185.76
22593,1208,1710,0.68,2.32,232.01,0.45,278.05,510.51
22608,1215,1125,6.42,-3.42,-341.72,-0.76,267.79,-74.69
22624,1214,1153,6.05,-3.05,-305.10,0.05,258.64,-46.42
22638,1215,1207,5.44,-2.44,-244.07,0.09,251.32,7.34
22653,1215,1640,1.17,1.83,183.18,0.57,256.81,440.56
22668,1208,1129,6.17,-3.17,-317.31,-0.67,247.30,-70.68
22683,1215,1120,6.17,-3.17,-317.31,0.00,237.78,-79.53
22699,1215,1790,-0.42,3.42,341.87,0.82,248.03,590.73
22713,1215,1611,1.41,1.59,158.76,-0.26,252.80,411.30
22728,1215,1591,1.66,1.34,134.35,-0.03,256.83,391.14
22743,1210,1570,1.90,1.10,109.94,-0.03,260.12,370.03
22758,1215,1485,2.76,0.24,24.49,-0.11,260.86,285.23
22773,1209,1385,3.73,-0.73,-73.17,-0.13,258.66,185.36
22788,1215,1320,4.34,-1.34,-134.20,-0.08,254.64,120.35
22803,1214,1253,4.95,-1.95,-195.24,-0.08,248.78,53.46
22817,1215,1814,-0.54,3.54,354.08,0.78,259.40,614.26
22833,1215,1295,4.59,-1.59,-158.62,-0.64,254.64,95.39
22848,1209,1404,3.49,-0.49,-48.75,0.15,253.18,204.57
22862,1215,1604,1.53,1.47,146.56,0.28,257.58,404.41
22878,1215,1130,6.17,-3.17,-317.31,-0.58,248.06,-69.83
22892,1215,1133,6.05,-3.05,-305.10,0.02,238.91,-66.18
22907,1215,1162,5.68,-2.68,-268.48,0.05,230.85,-37.58
22922,1208,1443,2.88,0.12,12.28,0.37,231.22,243.87
22937,1215,1204,5.20,-2.20,-219.65,-0.31,224.63,4.67
22952,1214,1299,4.22,-1.22,-122.00,0.13,220.97,99.10
22967,1215,1572,1.53,1.47,146.56,0.36,225.37,372.28
22982,1215,1563,1.66,1.34,134.35,-0.02,229.40,363.73
22996,1209,1101,6.17,-3.17,-317.31,-0.65,219.88,-98.08
23012,1214,1772,-0.42,3.42,341.87,0.82,230.13,572.83
23027,1201,1794,-0.54,3.54,354.08,0.02,240.76,594.85
,-0.23,246.25,429.20
23042,1215,1629,1.17,1.83,183.1823057,1215,1571,1.78,1.22,122.14,-0.08,249.92,371.98
23071,1208,1412,3.37,-0.37,-36.55,-0.23,248.82,212.05
23087,1201,1373,3.73,-0.73,-73.17,-0.05,246.62,173.41
23102,1215,1409,3.37,-0.37,-36.55,0.05,245.53,209.03
23116,1214,1269,4.71,-1.71,-170.83,-0.19,240.40,69.39
23132,1215,1868,-1.15,4.15,415.11,0.73,252.86,668.70
23146,1195,1918,-1.52,4.52,451.73,0.05,266.41,718.19
23161,1215,1327,4.34,-1.34,-134.20,-0.78,262.38,127.40
23177,1215,1525,2.39,0.61,61.11,0.24,264.22,325.57
23191,1214,1000,7.76,-4.76,-476.00,-0.77,249.94,-226.83
23206,1201,1803,-0.42,3.42,341.87,1.09,260.19,603.15
23221,1209,1812,-0.42,3.42,341.87,0.00,270.45,612.32
23236,1215,1646,1.29,1.71,170.97,-0.23,275.58,446.32
23251,1209,1563,2.14,0.86,85.52,-0.11,278.14,363.55
23266,1215,1553,2.27,0.73,73.32,-0.02,280.34,353.64
23281,1215,1518,2.63,0.37,36.69,-0.05,281.44,318.09
23296,1215,1418,3.61,-0.61,-60.96,-0.13,279.61,218.52
23311,1214,1290,4.83,-1.83,-183.03,-0.16,274.12,90.93
23326,1209,1298,4.71,-1.71,-170.83,0.02,269.00,98.19
23341,1214,1771,0.07,2.93,293.04,0.62,277.79,571.45
23356,1215,1175,5.93,-2.93,-292.90,-0.78,269.00,-24.67
23370,1215,1419,3.49,-0.49,-48.75,0.35,267.54,219.13
23386,1201,1530,2.39,0.61,61.11,0.14,269.37,330.62
23400,1208,1255,5.07,-2.07,-207.45,-0.38,263.15,55.32
23415,1214,1551,2.14,0.86,85.52,0.39,265.72,351.63
23431,1214,1113,6.42,-3.42,-341.72,-0.53,255.46,-86.79
23445,1201,1128,6.17,-3.17,-317.31,0.03,245.95,-71.33
23460,1215,1798,-0.42,3.42,341.87,0.88,256.20,598.95
23475,1209,1619,1.41,1.59,158.76,-0.24,260.96,419.48
23490,1215,1548,2.14,0.86,85.52,-0.10,263.53,348.95
23505,1201,1501,2.63,0.37,36.69,-0.07,264.63,301.26
23520,1215,1477,2.88,0.12,12.28,-0.03,265.00,277.25
23535,1215,1402,3.61,-0.61,-60.96,-0.10,263.17,202.11
23549,1209,1236,5.20,-2.20,-219.65,-0.23,256.58,36.70
23565,1201,1205,5.44,-2.44,-244.07,-0.03,249.26,5.16
23580,1215,1827,-0.66,3.66,366.28,0.81,260.25,627.35
23595,1215,1296,4.59,-1.59,-158.62,-0.70,255.49,96.17
23610,1214,1443,3.12,-0.12,-12.13,0.20,255.12,243.19
23624,1195,1442,3.12,-0.12,-12.13,0.00,254.76,242.63
23640,1214,1001,7.39,-4.39,-439.38,-0.53,241.58,-198.33
23655,1215,1794,-0.42,3.42,341.87,1.04,251.84,594.75
23669,1215,1602,1.53,1.47,146.56,-0.28,256.23,402.51
23685,1215,1632,1.29,1.71,170.97,0.03,261.36,432.36
23699,1211,1511,2.51,0.49,48.90,-0.17,262.83,311.56
23714,1215,1425,3.37,-0.37,-36.55,-0.11,261.73,225.07
23730,1209,1298,4.59,-1.59,-158.62,-0.15,256.97,98.20
23744,1214,1369,3.85,-0.85,-85.38,0.10,254.41,169.14
23759,1215,1328,4.22,-1.22,-122.00,-0.05,250.75,128.71
23774,1215,1816,-0.54,3.54,354.08,0.63,261.37,616.09
23789,1215,1347,4.10,-1.10,-109.79,-0.62,258.08,147.67
23804,1209,1420,3.37,-0.37,-36.55,0.10,256.98,220.53
23819,1215,1230,5.20,-2.20,-219.65,-0.24,250.39,30.50
23834,1215,1412,3.37,-0.37,-36.55,0.24,249.30,212.99
23848,1214,1310,4.34,-1.34,-134.20,-0.14,245.27,110.93
23864,1215,1281,4.59,-1.59,-158.62,-0.03,240.51,81.86
23878,1209,1541,2.02,0.98,97.73,0.37,243.45,341.54
23894,1215,1116,6.17,-3.17,-317.31,-0.52,233.93,-83.90
23909,1215,1786,-0.42,3.42,341.87,0.88,244.18,586.93
23923,1214,1796,-0.42,3.42,341.87,0.00,254.44,596.31
23939,1215,1617,1.41,1.59,158.76,-0.23,259.20,417.74
23953,1209,1496,2.63,0.37,36.69,-0.17,260.30,296.82
23968,1215,1472,2.88,0.12,12.28,-0.03,260.67,272.92
23984,1214,1410,3.49,-0.49,-48.75,-0.08,259.21,210.38
23998,1214,1333,4.22,-1.22,-122.24013,1215,2000,-3.59,6.59,659.25,1.04,275.33,935.62
00,-0.10,255.55,133.45
24028,1208,1449,3.24,-0.24,-24.34,-0.91,274.60,249.34
24043,1214,1512,2.63,0.37,36.69,0.08,275.70,312.47
24058,1215,1299,4.71,-1.71,-170.83,-0.28,270.57,99.47
24073,1215,1307,4.59,-1.59,-158.62,0.02,265.81,107.21
24088,1215,1566,2.02,0.98,97.73,0.34,268.74,366.82
24102,1209,1632,1.41,1.59,158.76,0.09,273.51,432.36
24118,1214,1000,8.25,-5.25,-524.83,-0.85,257.76,-267.92
24133,1215,1811,-0.42,3.42,341.87,1.16,268.02,611.04
24147,1201,1643,1.29,1.71,170.97,-0.24,273.15,443.88
24163,1215,1636,1.41,1.59,158.76,-0.02,277.91,436.66
24177,1214,1578,2.02,0.98,97.73,-0.09,280.84,378.49
24193,1215,1480,3.00,0.00,0.07,-0.12,280.84,280.80
24207,1209,1417,3.61,-0.61,-60.96,-0.09,279.02,217.97
24222,1215,1416,3.61,-0.61,-60.96,0.00,277.19,216.23
24238,1215,1200,5.68,-2.68,-268.48,-0.26,269.13,0.39
24252,1215,1608,1.66,1.34,134.35,0.58,273.16,408.09
24267,1201,1775,0.07,2.93,293.04,0.21,281.95,575.21
24283,1208,1166,6.05,-3.05,-305.10,-0.75,272.80,-33.05
24297,1214,1359,4.10,-1.10,-109.79,0.28,269.51,160.00
24312,1214,1507,2.63,0.37,36.69,0.20,270.61,307.50
24327,1201,1193,5.68,-2.68,-268.48,-0.41,262.55,-6.33
24342,1214,1198,5.56,-2.56,-256.27,0.02,254.87,-1.39
24356,1209,1316,4.34,-1.34,-134.20,0.17,250.84,116.81
24372,1215,1501,2.51,0.49,48.90,0.23,252.31,301.44
24387,1201,1124,6.17,-3.17,-317.31,-0.49,242.79,-75.01
24401,1215,1191,5.44,-2.44,-244.07,0.10,235.47,-8.50
24417,1214,1196,5.32,-2.32,-231.86,0.02,228.51,-3.34
24431,1208,1592,1.41,1.59,158.76,0.56,233.27,392.60
24446,1201,1571,1.66,1.34,134.35,-0.03,237.30,371.62
24462,1215,1147,5.81,-2.81,-280.69,-0.52,228.88,-52.32
24476,1214,1190,5.32,-2.32,-231.86,0.07,221.93,-9.86
24492,1214,1120,5.93,-2.93,-292.90,-0.08,213.14,-79.83
24506,1195,1778,-0.54,3.54,354.08,0.92,223.76,578.76
24521,1215,1788,-0.54,3.54,354.08,0.00,234.38,588.46
24537,1214,1572,1.66,1.34,134.35,-0.27,238.42,372.49
24551,1214,1551,1.90,1.10,109.94,-0.03,241.71,351.61
24566,1215,1554,1.90,1.10,109.94,0.00,245.01,354.95
24581,1208,1470,2.76,0.24,24.49,-0.11,245.75,270.12
24596,1215,1395,3.49,-0.49,-48.75,-0.10,244.28,195.43
24611,1215,1318,4.22,-1.22,-122.00,-0.10,240.62,118.53
24626,1201,1226,5.07,-2.07,-207.45,-0.11,234.40,26.84
24641,1215,1925,-1.76,4.76,476.15,0.91,248.68,725.74
24655,1214,1133,6.05,-3.05,-305.10,-1.12,239.53,-66.69
24671,1215,1326,4.10,-1.10,-109.79,0.24,236.24,126.69
24686,1195,1411,3.24,-0.24,-24.34,0.11,235.51,211.28
24700,1215,1561,1.78,1.22,122.14,0.21,239.17,361.52
24716,1215,1250,4.83,-1.83,-183.03,-0.38,233.68,50.27
24730,1215,1131,5.93,-2.93,-292.90,-0.16,224.89,-68.16
24745,1201,1475,2.51,0.49,48.90,0.46,226.36,275.72
24760,1209,1602,1.29,1.71,170.97,0.16,231.49,402.62
24775,1215,1053,6.66,-3.66,-366.14,-0.72,220.51,-146.35
24791,1215,1773,-0.42,3.42,341.87,0.89,230.76,573.52
24805,1201,1782,-0.42,3.42,341.87,0.00,241.02,582.89
24820,1214,1629,1.17,1.83,183.18,-0.21,246.51,429.48
24836,1209,1547,2.02,0.98,97.73,-0.11,249.45,347.07
24850,1215,1487,2.63,0.37,36.69,-0.09,250.55,287.15
24865,1201,1437,3.12,-0.12,-12.13,-0.07,250.18,237.98
24880,1214,1374,3.73,-0.73,-73.17,-0.08,247.99,174.74
24895,1214,1309,4.34,-1.34,-134.20,-0.08,243.96,109.68
24909,1209,2000,-2.49,5.49,549.39,0.98,260.44,810.81
24925,1215,2000,-2.25,5.25,524.98,-0.03,276.19,801.14
24940,1215,1286,4.83,-1.83,-183.03,-0.94,270.70,86.72
24954,1215,1458,3.12,-0.12,-12.13,0.24,270.34,258.45
24970,1215,1168,5.93,-2.93,-292.90,-0.35,261.55,-31.70
24984,1209,1147,6.05,-3.05,-305.10,-0.02,252.40,-52.72
24999,1215,1264,4.83,-1.83,-183.03,0.16,246.91,64.04
25015,1214,1560,1.90,1.10,109.94,0.37,250.20,360.51
25029,1215,1122,6.17,-3.17,-317.31,-0.61,240.68,-77.24
25044,1215,1176,5.56,-2.56,-256.27,0.08,233.00,-23.20
25059,1208,1206,5.20,-2.20,-219.65,0.05,226.41,6.80
25074,1215,1426,3.00,0.00,0.07,0.29,226.41,226.78
25089,1215,1313,4.10,-1.10,-109.79,-0.15,223.12,113.18
25104,1215,1247,4.71,-1.71,-170.83,-0.08,217.99,47.08
25119,1215,1405,3.12,-0.12,-12.13,0.21,217.63,205.70
25134,1215,1619,1.05,1.95,195.39,0.28,223.49,419.15
25149,1215,1196,5.20,-2.20,-219.65,-0.55,216.90,-3.31
25163,1209,1140,5.68,-2.68,-268.48,-0.07,208.84,-59.71
25179,1215,1170,5.32,-2.32,-231.86,0.05,201.89,-29.93
25194,1214,1641,0.68,2.32,232.01,0.62,208.85,441.47
25208,1215,1119,5.81,-2.81,-280.69,-0.73,200.43,-80.99
25224,1215,1136,5.56,-2.56,-256.27,0.03,192.74,-63.50
25239,1209,1267,4.22,-1.22,-122.00,0.18,189.08,67.26
25253,1215,1427,2.63,0.37,36.69,0.23,190.18,227.10
25269,1215,1276,4.10,-1.10,-109.79,-0.18,186.89,76.91
25283,1215,1298,3.85,-0.85,-85.38,0.03,184.33,98.98
25298,1215,1611,0.80,2.20,219.80,0.41,190.92,411.13
25313,1208,1050,6.30,-3.30,-329.52,-0.73,181.03,-149.21
25328,1214,1746,-0.54,3.54,354.08,0.91,191.66,546.65
25344,1214,1743,-0.42,3.42,341.87,-0.02,201.91,543.77
25358,1215,1577,1.29,1.71,170.97,-0.24,207.04,377.77
25373,1214,1507,2.02,0.98,97.73,-0.10,209.97,307.61
25388,1208,1460,2.51,0.49,48.90,-0.07,211.44,260.28
25403,1215,1361,3.49,-0.49,-48.75,-0.13,209.98,161.09
25418,1214,1309,3.98,-0.98,-97.58,-0.07,207.05,109.40
25433,1215,2000,-4.20,7.20,720.29,1.09,228.66,950.04
25448,1201,1478,2.51,0.49,48.90,-0.90,230.13,278.13
25462,1208,1417,3.12,-0.12,-12.13,-0.09,229.76,217.54
25478,1215,1278,4.46,-1.46,-146.41,-0.17,225.37,78.79
25493,1215,1287,4.34,-1.34,-134.20,0.02,221.34,87.16
25507,1215,1509,2.14,0.86,85.52,0.31,223.91,309.75
25523,1215,1700,0.31,2.69,268.63,0.23,231.97,500.83
25537,1209,1091,6.30,-3.30,-329.52,-0.85,222.08,-108.29
25552,1215,1787,-0.54,3.54,354.08,0.91,232.71,587.69
25568,1201,1595,1.41,1.59,158.76,-0.24,237.47,395.99
25582,1214,1613,1.29,1.71,170.97,0.02,242.60,413.59
25597,1215,1543,2.02,0.98,97.73,-0.10,245.53,343.16
25612,1215,1445,3.00,0.00,0.07,-0.13,245.53,245.47
25627,1201,1458,2.88,0.12,12.28,0.02,245.90,258.20
25641,1209,1395,3.49,-0.49,-48.75,-0.09,244.44,195.59
25657,1215,1205,5.32,-2.32,-231.86,-0.23,237.48,5.39
25672,1214,1576,1.66,1.34,134.35,0.49,241.51,376.35
25687,1201,1428,3.12,-0.12,-12.13,-0.20,241.15,228.82
25702,1214,1239,4.95,-1.95,-195.24,-0.24,235.29,39.81
25717,1209,1259,4.71,-1.71,-170.83,0.03,230.17,59.37
25732,1214,1543,1.90,1.10,109.94,0.37,233.46,343.77
25747,1201,1798,-0.54,3.54,354.08,0.33,244.09,598.49
25761,1215,1217,5.20,-2.20,-219.65,-0.82,237.50,17.02
