Time,PWM,Throttle,A,e,P,D,I,PID
17218,1215,1220,4.94,-1.94,-96.77,0,117.33,20.56
17233,1215,1292,3.47,-0.47,-23.52,0,116.39,92.86
17248,1214,1418,1.03,1.97,98.55,0,120.33,218.88
17263,1215,1479,-0.07,3.07,153.48,0,126.47,279.95
17277,1209,1213,5.18,-2.18,-108.97,0,122.11,13.14
17293,1214,1246,4.45,-1.45,-72.35,0,119.21,46.86
17307,1215,1288,3.59,-0.59,-29.63,0,118.03,88.4
17323,1215,1420,1.03,1.97,98.55,0,121.97,220.52
17338,1215,1221,4.94,-1.94,-96.77,0,118.1,21.34
17352,1208,1338,2.62,0.38,19.2,0,118.87,138.07
17368,1215,1440,0.66,2.34,116.86,0,123.54,240.4
17383,1215,1451,0.54,2.46,122.96,0,128.46,251.42
17397,1214,1196,5.55,-2.55,-127.28,0,123.37,-3.91
17413,1215,1235,4.69,-1.69,-84.56,0,119.99,35.43
17427,1214,1378,1.88,1.12,55.82,0,122.22,178.04
17442,1214,1392,1.64,1.36,68.03,0,124.94,192.97
17457,1209,1446,0.66,2.34,116.86,0,129.62,246.47
17472,1214,1197,5.55,-2.55,-127.28,0,124.52,-2.76
17487,1215,1249,4.45,-1.45,-72.35,0,121.63,49.28
17502,1214,1316,3.1,-0.1,-5.21,0,121.42,116.21
17517,1215,1398,1.52,1.48,74.13,0,124.39,198.52
17531,1208,1376,2.01,0.99,49.72,0,126.38,176.1
17547,1214,1378,2.01,0.99,49.72,0,128.37,178.08
17562,1215,1494,-0.19,3.19,159.58,0,134.75,294.33
17576,1214,1196,5.67,-2.67,-133.39,0,129.41,-3.97
17592,1215,1184,5.79,-2.79,-139.49,0,123.83,-15.66
17606,1208,1305,3.35,-0.35,-17.42,0,123.14,105.72
17622,1214,1438,0.78,2.22,110.75,0,127.57,238.32
,,,,,,,,
,,,,,,,,
17667,1214,1342,2.49,0.51,25.31,0,117.42,142.73
17681,1209,1388,1.64,1.36,68.03,0,120.14,188.17
17696,1215,1454,0.42,2.58,129.06,0,125.3,254.37
17712,1215,1192,5.55,-2.55,-127.28,0,120.21,-7.07
17726,1214,1232,4.69,-1.69,-84.56,0,116.83,32.27
17741,1215,1336,2.62,0.38,19.2,0,117.6,136.8
17756,1209,1356,2.25,0.75,37.51,0,119.1,156.61
17771,1215,1510,-0.68,3.68,184,0,126.46,310.46
17786,1201,1257,4.32,-1.32,-66.25,0,123.81,57.56
17801,1215,1229,4.81,-1.81,-90.66,0,120.18,29.52
17816,1215,1283,3.71,-0.71,-35.73,0,118.75,83.02
17830,1209,1332,2.74,0.26,13.1,0,119.28,132.38
17846,1201,1440,0.66,2.34,116.86,0,123.95,240.81
17861,1215,1515,-0.68,3.68,184,0,131.31,315.31
17875,1215,1211,5.3,-2.3,-115.08,0,126.71,11.63
17891,1215,1314,3.23,-0.23,-11.32,0,126.26,114.94
17905,1197,1422,1.15,1.85,92.44,0,129.95,222.4
17921,1215,1483,0.05,2.95,147.38,0,135.85,283.22
17936,1213,1139,6.77,-3.77,-188.32,0,128.32,-60
17950,1215,1234,4.81,-1.81,-90.66,0,124.69,34.03
17966,1201,1376,2.01,0.99,49.72,0,126.68,176.4
17980,1214,1410,1.4,1.6,80.24,0,129.89,210.12
17995,1215,1267,4.2,-1.2,-60.14,0,127.48,67.34
18010,1209,1309,3.35,-0.35,-17.42,0,126.78,109.37
18025,1201,1410,1.4,1.6,80.24,0,129.99,210.23
18040,1214,1470,0.3,2.7,135.17,0,135.4,270.57
18055,1214,1228,5.06,-2.06,-102.87,0,131.29,28.42
18070,1215,1205,5.42,-2.42,-121.18,0,126.44,5.26
18084,1195,1365,2.25,0.75,37.51,0,127.94,165.45
18100,1215,1468,0.3,2.7,135.17,0,133.35,268.51
18115,1214,1226,5.06,-2.06,-102.87,0,129.23,26.36
18129,1215,1234,4.81,-1.81,-90.66,0,125.6,34.94
18145,1201,1275,3.96,-0.96,-47.94,0,123.69,75.75
18159,1209,1394,1.64,1.36,68.03,0,126.41,194.44
18174,1214,1378,2.01,0.99,49.72,0,128.4,178.12
18190,1215,1437,0.91,2.09,104.65,0,132.58,237.23
18204,1200,1447,0.78,2.22,110.75,0,137.01,247.77
18220,1214,1217,5.3,-2.3,-115.08,0,132.41,17.33
18234,1208,1244,4.69,-1.69,-84.56,0,129.03,44.47
18249,1215,1291,3.71,-0.71,-35.73,0,127.6,91.87
18264,1201,1468,0.3,2.7,135.17,0,133.01,268.17
18279,1215,1505,-0.31,3.31,165.69,0,139.63,305.32
18294,1214,1238,4.94,-1.94,-96.77,0,135.76,39
18309,1208,1222,5.18,-2.18,-108.97,0,131.4,22.43
18324,1201,1389,1.88,1.12,55.82,0,133.64,189.46
18339,1215,1429,1.15,1.85,92.44,0,137.33,229.78
18354,1215,1217,5.3,-2.3,-115.08,0,132.73,17.66
18369,1214,1225,5.06,-2.06,-102.87,0,128.62,25.75
18383,1194,1342,2.74,0.26,13.1,0,129.14,142.24
18399,1215,1450,0.66,2.34,116.86,0,133.81,250.67
18414,1215,1214,5.3,-2.3,-115.08,0,129.21,14.14
18428,1214,1228,4.94,-1.94,-96.77,0,125.34,28.58
18444,1214,1256,4.32,-1.32,-66.25,0,122.69,56.44
18458,1215,1317,3.1,-0.1,-5.21,0,122.48,117.27
18473,1215,1488,-0.19,3.19,159.58,0,128.87,288.45
18488,1208,1215,5.18,-2.18,-108.97,0,124.51,15.54
18503,1215,1274,3.96,-0.96,-47.94,0,122.59,74.65
18519,1215,1304,3.35,-0.35,-17.42,0,121.89,104.47
18533,1215,1405,1.4,1.6,80.24,0,125.1,205.34
18548,1214,1249,4.45,-1.45,-72.35,0,122.21,49.86
18563,1208,1354,2.37,0.63,31.41,0,123.46,154.87
18578,1215,1375,2.01,0.99,49.72,0,125.45,175.17
,,,,,,,,
,,,,,,,,
18623,1215,1232,4.81,-1.81,-90.66,0,123.36,32.7
18637,1209,1298,3.47,-0.47,-23.52,0,122.42,98.9
18653,1215,1405,1.4,1.6,80.24,0,125.63,205.87
18668,1215,1256,4.32,-1.32,-66.25,0,122.98,56.73
18682,1214,1241,4.57,-1.57,-78.45,0,119.84,41.39
18698,1214,1352,2.37,0.63,31.41,0,121.1,152.51
18712,1209,1537,-1.17,4.17,208.41,0,129.44,337.85
18727,1215,1228,4.94,-1.94,-96.77,0,125.57,28.8
18743,1215,1199,5.42,-2.42,-121.18,0,120.72,-0.46
18757,1215,1302,3.35,-0.35,-17.42,0,120.02,102.6
18772,1214,1403,1.4,1.6,80.24,0,123.23,203.47
18787,1209,1241,4.57,-1.57,-78.45,0,120.09,41.64
18802,1214,1295,3.47,-0.47,-23.52,0,119.15,95.63
18817,1214,1383,1.76,1.24,61.93,0,121.63,183.56
18832,1215,1366,2.13,0.87,43.62,0,123.37,166.99
18847,1214,1356,2.37,0.63,31.41,0,124.63,156.04
18862,1209,1503,-0.44,3.44,171.79,0,131.5,303.29
18877,1214,1256,4.45,-1.45,-72.35,0,128.61,56.26
18891,1215,1247,4.57,-1.57,-78.45,0,125.47,47.02
18907,1214,1364,2.25,0.75,37.51,0,126.97,164.48
18922,1215,1353,2.49,0.51,25.31,0,127.98,153.29
18936,1214,1493,-0.19,3.19,159.58,0,134.37,293.95
18952,1215,1233,4.94,-1.94,-96.77,0,130.5,33.73
18966,1209,1255,4.45,-1.45,-72.35,0,127.6,55.25
18981,1215,1341,2.74,0.26,13.1,0,128.13,141.22
18997,1215,1487,-0.07,3.07,153.48,0,134.26,287.74
19011,1214,1227,5.06,-2.06,-102.87,0,130.15,27.28
19026,1215,1223,5.06,-2.06,-102.87,0,126.03,23.17
19041,1209,1295,3.59,-0.59,-29.63,0,124.85,95.22
19056,1215,1363,2.25,0.75,37.51,0,126.35,163.86
19072,1214,1485,-0.07,3.07,153.48,0,132.49,285.97
19086,1201,1263,4.32,-1.32,-66.25,0,129.84,63.59
19101,1215,1241,4.69,-1.69,-84.56,0,126.46,41.9
19116,1209,1301,3.47,-0.47,-23.52,0,125.52,101.99
19131,1215,1339,2.74,0.26,13.1,0,126.04,139.14
19146,1201,1377,2.01,0.99,49.72,0,128.03,177.75
19161,1214,1532,-0.92,3.92,196.2,0,135.88,332.08
19176,1215,1247,4.69,-1.69,-84.56,0,132.49,47.94
19190,1209,1358,2.49,0.51,25.31,0,133.51,158.81
19206,1201,1353,2.62,0.38,19.2,0,134.27,153.48
19221,1214,1493,-0.07,3.07,153.48,0,140.41,293.89
19235,1215,1265,4.45,-1.45,-72.35,0,137.52,65.17
19251,1215,1274,4.2,-1.2,-60.14,0,135.11,74.97
19265,1195,1361,2.49,0.51,25.31,0,136.13,161.43
19280,1215,1425,1.27,1.73,86.34,0,139.58,225.92
19296,1214,1200,5.67,-2.67,-133.39,0,134.24,0.86
19310,1215,1252,4.57,-1.57,-78.45,0,131.11,52.65
19325,1201,1370,2.25,0.75,37.51,0,132.61,170.12
19340,1208,1454,0.66,2.34,116.86,0,137.28,254.14
19355,1214,1185,5.91,-2.91,-145.59,0,131.46,-14.14
19371,1214,1186,5.79,-2.79,-139.49,0,125.88,-13.61
19385,1201,1269,4.08,-1.08,-54.04,0,123.72,69.68
19400,1215,1388,1.76,1.24,61.93,0,126.19,188.12
19415,1215,1390,1.76,1.24,61.93,0,128.67,190.6
19430,1214,1386,1.88,1.12,55.82,0,130.9,186.73
19444,1194,1344,2.74,0.26,13.1,0,131.43,144.53
19460,1215,1433,1.03,1.97,98.55,0,135.37,233.92
19475,1215,1190,5.79,-2.79,-139.49,0,129.79,-9.7
19489,1215,1216,5.18,-2.18,-108.97,0,125.43,16.46
19505,1200,1332,2.86,0.14,6.99,0,125.71,132.71
19519,1209,1428,1.03,1.97,98.55,0,129.65,228.2
19534,1214,1222,5.06,-2.06,-102.87,0,125.54,22.67
19550,1215,1205,5.3,-2.3,-115.08,0,120.93,5.86
19564,1201,1353,2.37,0.63,31.41,0,122.19,153.6
19579,1215,1437,0.78,2.22,110.75,0,126.62,237.38
19594,1209,1162,6.16,-3.16,-157.8,0,120.31,-37.49
19609,1214,1213,5.06,-2.06,-102.87,0,116.19,13.33
19624,1201,1291,3.47,-0.47,-23.52,0,115.25,91.73
19639,1215,1405,1.27,1.73,86.34,0,118.71,205.05
19654,1215,1357,2.25,0.75,37.51,0,120.21,157.72
19668,1209,1397,1.52,1.48,74.13,0,123.17,197.31
19684,1201,1451,0.54,2.46,122.96,0,128.09,251.05
19699,1215,1354,2.49,0.51,25.31,0,129.1,154.41
19714,1215,1437,0.91,2.09,104.65,0,133.29,237.94
19729,1215,1219,5.18,-2.18,-108.97,0,128.93,19.96
19743,1208,1190,5.67,-2.67,-133.39,0,123.6,-9.79
19759,1215,1324,2.98,0.02,0.89,0,123.63,124.52
19773,1214,1407,1.4,1.6,80.24,0,126.84,207.08
19788,1215,1296,3.59,-0.59,-29.63,0,125.66,96.03
19804,1215,1320,3.1,-0.1,-5.21,0,125.45,120.23
19818,1209,1415,1.27,1.73,86.34,0,128.9,215.24
19833,1214,1234,4.81,-1.81,-90.66,0,125.27,34.61
19848,1215,1357,2.37,0.63,31.41,0,126.53,157.94
19863,1214,1409,1.4,1.6,80.24,0,129.74,209.98
19878,1214,1267,4.2,-1.2,-60.14,0,127.33,67.19
19893,1215,1328,2.98,0.02,0.89,0,127.37,128.26
19908,1215,1423,1.15,1.85,92.44,0,131.07,223.51
19922,1208,1509,-0.44,3.44,171.79,0,137.94,309.73
19938,1215,1262,4.45,-1.45,-72.35,0,135.04,62.69
19953,1215,1310,3.47,-0.47,-23.52,0,134.1,110.58
19968,1215,1360,2.49,0.51,25.31,0,135.12,160.42
19983,1215,1462,0.54,2.46,122.96,0,140.03,263
19997,1208,1207,5.55,-2.55,-127.28,0,134.94,7.66
20013,1214,1221,5.18,-2.18,-108.97,0,130.58,21.61
20028,1215,1350,2.62,0.38,19.2,0,131.35,150.55
20042,1214,1452,0.66,2.34,116.86,0,136.03,252.88
20058,1215,1203,5.55,-2.55,-127.28,0,130.94,3.65
20072,1209,1198,5.55,-2.55,-127.28,0,125.84,-1.44
20087,1214,1314,3.23,-0.23,-11.32,0,125.39,114.08
20103,1214,1377,2.01,0.99,49.72,0,127.38,177.1
20117,1215,1461,0.42,2.58,129.06,0,132.54,261.61
20132,1215,1187,5.79,-2.79,-139.49,0,126.96,-12.53
20147,1209,1251,4.45,-1.45,-72.35,0,124.07,51.72
20162,1215,1299,3.47,-0.47,-23.52,0,123.13,99.61
20177,1215,1368,2.13,0.87,43.62,0,124.87,168.49
20192,1215,1446,0.66,2.34,116.86,0,129.55,246.41
20207,1215,1184,5.79,-2.79,-139.49,0,123.97,-15.52
20221,1209,1229,4.81,-1.81,-90.66,0,120.34,29.68
20237,1215,1327,2.86,0.14,6.99,0,120.62,127.62
20251,1215,1391,1.64,1.36,68.03,0,123.34,191.37
20267,1214,1279,3.84,-0.84,-41.83,0,121.67,79.84
20282,1215,1386,1.76,1.24,61.93,0,124.15,186.07
20296,1209,1318,3.1,-0.1,-5.21,0,123.94,118.73
20312,1215,1394,1.64,1.36,68.03,0,126.66,194.69
20326,1201,1359,2.37,0.63,31.41,0,127.92,159.32
20341,1215,1316,3.23,-0.23,-11.32,0,127.46,116.15
20357,1215,1366,2.25,0.75,37.51,0,128.96,166.48
20371,1208,1475,0.17,2.83,141.27,0,134.61,275.89
20386,1201,1468,0.42,2.58,129.06,0,139.78,268.84
20402,1209,1258,4.57,-1.57,-78.45,0,136.64,58.18
20416,1215,1299,3.71,-0.71,-35.73,0,135.21,99.48
20431,1215,1355,2.62,0.38,19.2,0,135.98,155.18
20446,1201,1514,-0.44,3.44,171.79,0,142.85,314.64
20461,1215,1464,0.66,2.34,116.86,0,147.52,264.38
20475,1208,1278,4.32,-1.32,-66.25,0,144.87,78.63
20491,1214,1275,4.32,-1.32,-66.25,0,142.22,75.98
20506,1201,1387,2.13,0.87,43.62,0,143.97,187.58
20520,1214,1490,0.17,2.83,141.27,0,149.62,290.89
20536,1215,1242,5.06,-2.06,-102.87,0,145.5,42.64
20550,1209,1270,4.45,-1.45,-72.35,0,142.61,70.26
20566,1201,1305,3.71,-0.71,-35.73,0,141.18,105.45
20581,1214,1526,-0.56,3.56,177.89,0,148.3,326.19
20595,1215,1234,5.18,-2.18,-108.97,0,143.94,34.97
20611,1215,1255,4.69,-1.69,-84.56,0,140.56,56
20625,1194,1303,3.71,-0.71,-35.73,0,139.13,103.4
20640,1215,1384,2.13,0.87,43.62,0,140.87,184.49
20656,1214,1430,1.27,1.73,86.34,0,144.32,230.66
20670,1215,1256,4.69,-1.69,-84.56,0,140.94,56.38
20685,1200,1272,4.32,-1.32,-66.25,0,138.29,72.04
20700,1208,1364,2.49,0.51,25.31,0,139.3,164.61
20715,1214,1492,0.05,2.95,147.38,0,145.2,292.57
20730,1214,1231,5.18,-2.18,-108.97,0,140.84,31.87
20745,1201,1240,4.94,-1.94,-96.77,0,136.97,40.2
20760,1215,1255,4.57,-1.57,-78.45,0,133.83,55.38
20774,1208,1379,2.13,0.87,43.62,0,135.58,179.19
20790,1214,1507,-0.31,3.31,165.69,0,142.2,307.89
20805,1201,1374,2.37,0.63,31.41,0,143.46,174.87
20819,1214,1236,5.06,-2.06,-102.87,0,139.35,36.48
20835,1215,1352,2.74,0.26,13.1,0,139.87,152.97
20849,1211,1429,1.27,1.73,86.34,0,143.32,229.66
20865,1200,1426,1.4,1.6,80.24,0,146.53,226.77
20879,1213,1239,5.06,-2.06,-102.87,0,142.42,39.55
20894,1215,1324,3.35,-0.35,-17.42,0,141.72,124.3
20910,1215,1342,2.98,0.02,0.89,0,141.76,142.65
20924,1200,1393,2.01,0.99,49.72,0,143.75,193.46
20939,1214,1458,0.78,2.22,110.75,0,148.18,258.93
20954,1209,1241,5.06,-2.06,-102.87,0,144.06,41.19
20969,1215,1294,3.96,-0.96,-47.94,0,142.14,94.21
20984,1215,1349,2.86,0.14,6.99,0,142.42,149.42
20999,1215,1438,1.15,1.85,92.44,0,146.12,238.56
21014,1215,1213,5.55,-2.55,-127.28,0,141.03,13.75
21028,1208,1202,5.67,-2.67,-133.39,0,135.69,2.31
21044,1215,1323,3.23,-0.23,-11.32,0,135.24,123.93
21059,1215,1399,1.76,1.24,61.93,0,137.72,199.64
21073,1215,1344,2.86,0.14,6.99,0,138,144.99
21089,1215,1377,2.25,0.75,37.51,0,139.5,177.01
21103,1209,1505,-0.19,3.19,159.58,0,145.88,305.46
21118,1215,1232,5.18,-2.18,-108.97,0,141.52,32.55
21134,1215,1158,6.52,-3.52,-176.11,0,134.48,-41.63
21148,1215,1310,3.47,-0.47,-23.52,0,133.54,110.01
21164,1215,1429,1.15,1.85,92.44,0,137.24,229.68
21178,1209,1230,5.06,-2.06,-102.87,0,133.12,30.25
21193,1215,1238,4.81,-1.81,-90.66,0,129.49,38.83
21209,1215,1406,1.52,1.48,74.13,0,132.46,206.59
21223,1215,1460,0.54,2.46,122.96,0,137.38,260.34
21238,1215,1205,5.55,-2.55,-127.28,0,132.29,5
21253,1208,1187,5.79,-2.79,-139.49,0,126.71,-12.78
21268,1215,1321,3.1,-0.1,-5.21,0,126.5,121.29
21282,1214,1397,1.64,1.36,68.03,0,129.22,197.25
21298,1215,1393,1.76,1.24,61.93,0,131.7,193.62
21313,1214,1402,1.64,1.36,68.03,0,134.42,202.45
21327,1208,1392,1.88,1.12,55.82,0,136.65,192.47
21343,1215,1261,4.45,-1.45,-72.35,0,133.76,61.41
21357,1215,1455,0.66,2.34,116.86,0,138.43,255.29
21372,1215,1212,5.42,-2.42,-121.18,0,133.58,12.4
21388,1215,1207,5.42,-2.42,-121.18,0,128.74,7.56
21402,1215,1240,4.69,-1.69,-84.56,0,125.35,40.8
21417,1215,1370,2.13,0.87,43.62,0,127.1,170.71
21432,1209,1461,0.42,2.58,129.06,0,132.26,261.33
21447,1214,1237,4.81,-1.81,-90.66,0,128.64,37.97
21463,1214,1278,3.96,-0.96,-47.94,0,126.72,78.78
21477,1215,1270,4.08,-1.08,-54.04,0,124.56,70.52
21492,1214,1363,2.25,0.75,37.51,0,126.06,163.57
21507,1209,1504,-0.44,3.44,171.79,0,132.93,304.72
21522,1215,1511,-0.44,3.44,171.79,0,139.8,311.59
21537,1214,1251,4.69,-1.69,-84.56,0,136.42,51.86
21552,1214,1280,4.08,-1.08,-54.04,0,134.26,80.22
21567,1215,1354,2.62,0.38,19.2,0,135.02,154.23
21581,1209,1462,0.54,2.46,122.96,0,139.94,262.9
21597,1215,1232,5.06,-2.06,-102.87,0,135.83,32.96
21612,1215,1292,3.84,-0.84,-41.83,0,134.15,92.32
21626,1201,1322,3.23,-0.23,-11.32,0,133.7,122.39
21642,1215,1423,1.27,1.73,86.34,0,137.16,223.5
21656,1208,1242,4.81,-1.81,-90.66,0,133.53,42.87
21671,1215,1264,4.32,-1.32,-66.25,0,130.88,64.63
21687,1201,1433,1.03,1.97,98.55,0,134.82,233.37
21701,1215,1443,0.91,2.09,104.65,0,139.01,243.66
21716,1215,1276,4.2,-1.2,-60.14,0,136.6,76.46
21731,1209,1204,5.55,-2.55,-127.28,0,131.51,4.23
21746,1201,1294,3.71,-0.71,-35.73,0,130.08,94.35
21761,1215,1400,1.64,1.36,68.03,0,132.8,200.83
21776,1214,1371,2.25,0.75,37.51,0,134.3,171.81
21791,1214,1417,1.4,1.6,80.24,0,137.51,217.75
21806,1194,1408,1.64,1.36,68.03,0,140.23,208.26
21821,1215,1233,5.06,-2.06,-102.87,0,136.12,33.25
21836,1215,1356,2.62,0.38,19.2,0,136.89,156.09
21851,1215,1471,0.42,2.58,129.06,0,142.05,271.11
21866,1201,1514,-0.31,3.31,165.69,0,148.68,314.36
21880,1214,1216,5.55,-2.55,-127.28,0,143.58,16.3
21896,1215,1261,4.57,-1.57,-78.45,0,140.45,61.99
21910,1208,1404,1.76,1.24,61.93,0,142.92,204.85
21925,1214,1426,1.4,1.6,80.24,0,146.13,226.37
21941,1215,1347,2.98,0.02,0.89,0,146.17,147.06
21955,1215,1397,2.01,0.99,49.72,0,148.16,197.88
21970,1214,1393,2.13,0.87,43.62,0,149.9,193.52
21985,1194,1388,2.25,0.75,37.51,0,151.4,188.92
22000,1215,1358,2.86,0.14,6.99,0,151.68,158.68
22016,1215,1384,2.37,0.63,31.41,0,152.94,184.35
22030,1215,1423,1.64,1.36,68.03,0,155.66,223.69
22045,1201,1420,1.76,1.24,61.93,0,158.14,220.06
22060,1208,1257,4.94,-1.94,-96.77,0,154.27,57.5
22075,1214,1310,3.84,-0.84,-41.83,0,152.59,110.76
22090,1214,1397,2.13,0.87,43.62,0,154.34,197.95
22105,1201,1444,1.27,1.73,86.34,0,157.79,244.13
22120,1215,1301,4.08,-1.08,-54.04,0,155.63,101.59
22134,1209,1331,3.47,-0.47,-23.52,0,154.69,131.17
22150,1214,1514,-0.07,3.07,153.48,0,160.83,314.31
22165,1200,1501,0.3,2.7,135.17,0,166.23,301.4
22179,1215,1335,3.59,-0.59,-29.63,0,165.05,135.42
22195,1215,1296,4.32,-1.32,-66.25,0,162.4,96.15
22209,1208,1445,1.4,1.6,80.24,0,165.61,245.85
22224,1201,1518,0.05,2.95,147.38,0,171.5,318.88
22240,1215,1220,5.91,-2.91,-145.59,0,165.68,20.09
22254,1214,1284,4.57,-1.57,-78.45,0,162.54,84.09
22269,1214,1433,1.64,1.36,68.03,0,165.26,233.29
22284,1209,1512,0.17,2.83,141.27,0,170.91,312.19
22299,1215,1105,8.11,-5.11,-255.46,0,160.7,-94.76
22315,1215,1539,-0.44,3.44,171.79,0,167.57,339.36
22329,1214,1457,1.27,1.73,86.34,0,171.02,257.36
22344,1214,1454,1.4,1.6,80.24,0,174.23,254.47
22359,1215,1419,2.13,0.87,43.62,0,175.98,219.59
22374,1215,1389,2.74,0.26,13.1,0,176.5,189.6
22388,1208,1352,3.47,-0.47,-23.52,0,175.56,152.04
22404,1214,1325,3.96,-0.96,-47.94,0,173.64,125.7
22419,1214,1653,-2.39,5.39,269.45,0,184.42,453.86
22433,1215,1309,4.45,-1.45,-72.35,0,181.52,109.17
22449,1215,1357,3.47,-0.47,-23.52,0,180.58,157.06
22463,1209,1457,1.52,1.48,74.13,0,183.55,257.68
22478,1215,1175,7.01,-4.01,-200.52,0,175.53,-25
22494,1215,1249,5.42,-2.42,-121.18,0,170.68,49.5
22508,1215,1384,2.74,0.26,13.1,0,171.21,184.3
22523,1215,1499,0.54,2.46,122.96,0,176.12,299.08
22538,1209,1231,5.79,-2.79,-139.49,0,170.54,31.05
22553,1214,1225,5.79,-2.79,-139.49,0,164.96,25.47
22568,1215,1277,4.69,-1.69,-84.56,0,161.58,77.02
22583,1215,1502,0.3,2.7,135.17,0,166.99,302.16
22598,1214,1253,5.18,-2.18,-108.97,0,162.63,53.66
22612,1209,1160,6.89,-3.89,-194.42,0,154.85,-39.57
22628,1215,1336,3.35,-0.35,-17.42,0,154.16,136.74
22643,1215,1462,0.91,2.09,104.65,0,158.34,262.99
22658,1215,1168,6.64,-3.64,-182.21,0,151.05,-31.16
22673,1215,1212,5.67,-2.67,-133.39,0,145.72,12.33
22687,1209,1264,4.57,-1.57,-78.45,0,142.58,64.13
22703,1214,1413,1.64,1.36,68.03,0,145.3,213.33
22718,1215,1397,2.01,0.99,49.72,0,147.29,197.01
22732,1215,1335,3.23,-0.23,-11.32,0,146.84,135.52
22748,1214,1481,0.42,2.58,129.06,0,152,281.06
22762,1208,1517,-0.19,3.19,159.58,0,158.38,317.97
22777,1215,1257,4.94,-1.94,-96.77,0,154.51,57.75
22792,1214,1272,4.57,-1.57,-78.45,0,151.37,72.92
22807,1215,1422,1.64,1.36,68.03,0,154.1,222.13
22822,1215,1469,0.78,2.22,110.75,0,158.53,269.28
22837,1215,1232,5.42,-2.42,-121.18,0,153.68,32.5
22852,1214,1253,4.94,-1.94,-96.77,0,149.81,53.04
22866,1209,1363,2.74,0.26,13.1,0,150.33,163.43
22882,1215,1421,1.64,1.36,68.03,0,153.05,221.08
22897,1215,1322,3.59,-0.59,-29.63,0,151.87,122.24
22912,1214,1314,3.71,-0.71,-35.73,0,150.44,114.71
22927,1201,1383,2.37,0.63,31.41,0,151.7,183.1
22941,1209,1524,-0.31,3.31,165.69,0,158.32,324.01
22957,1215,1244,5.18,-2.18,-108.97,0,153.96,44.99
22972,1215,1259,4.81,-1.81,-90.66,0,150.34,59.68
22986,1200,1338,3.23,-0.23,-11.32,0,149.88,138.57
23002,1214,1484,0.42,2.58,129.06,0,155.05,284.11
23016,1209,1209,5.79,-2.79,-139.49,0,149.47,9.98
23031,1214,1248,4.94,-1.94,-96.77,0,145.6,48.83
23047,1201,1321,3.47,-0.47,-23.52,0,144.66,121.13
23061,1215,1421,1.52,1.48,74.13,0,147.62,221.75
23076,1215,1266,4.57,-1.57,-78.45,0,144.48,66.03
23091,1208,1256,4.69,-1.69,-84.56,0,141.1,56.54
23106,1201,1456,0.78,2.22,110.75,0,145.53,256.29
23121,1214,1549,-0.92,3.92,196.2,0,153.38,349.58
23136,1214,1271,4.57,-1.57,-78.45,0,150.24,71.79
23151,1215,1287,4.2,-1.2,-60.14,0,147.84,87.69
23165,1195,1412,1.76,1.24,61.93,0,150.31,212.24
23181,1215,1440,1.27,1.73,86.34,0,153.77,240.11
23196,1215,1234,5.3,-2.3,-115.08,0,149.16,34.09
23211,1215,1267,4.57,-1.57,-78.45,0,146.02,67.57
23226,1201,1302,3.84,-0.84,-41.83,0,144.35,102.52
23240,1209,1364,2.62,0.38,19.2,0,145.12,164.32
23256,1214,1530,-0.56,3.56,177.89,0,152.24,330.13
23271,1215,1270,4.57,-1.57,-78.45,0,149.1,70.64
23285,1200,1254,4.81,-1.81,-90.66,0,145.47,54.81
23301,1215,1340,3.1,-0.1,-5.21,0,145.26,140.05
23315,1214,1473,0.54,2.46,122.96,0,150.18,273.14
23330,1214,1230,5.3,-2.3,-115.08,0,145.58,30.5
23345,1195,1181,6.16,-3.16,-157.8,0,139.27,-18.53
23360,1215,1333,3.1,-0.1,-5.21,0,139.06,133.84
23375,1214,1441,1.03,1.97,98.55,0,143,241.55
23390,1214,1159,6.52,-3.52,-176.11,0,135.95,-40.16
23405,1201,1197,5.67,-2.67,-133.39,0,130.62,-2.77
23419,1209,1261,4.32,-1.32,-66.25,0,127.97,61.72
23435,1214,1347,2.62,0.38,19.2,0,128.74,147.94
23450,1214,1450,0.66,2.34,116.86,0,133.41,250.27
23464,1201,1543,-1.05,4.05,202.31,0,141.5,343.81
23480,1215,1234,5.06,-2.06,-102.87,0,137.39,34.52
23494,1209,1319,3.35,-0.35,-17.42,0,136.69,119.27
23510,1215,1363,2.49,0.51,25.31,0,137.7,163.01
23525,1201,1478,0.3,2.7,135.17,0,143.11,278.28
23539,1215,1553,-1.05,4.05,202.31,0,151.2,353.51
23555,1215,1250,4.94,-1.94,-96.77,0,147.33,50.57
23569,1208,1303,3.84,-0.84,-41.83,0,145.66,103.83
23584,1214,1371,2.49,0.51,25.31,0,146.67,171.98
23600,1215,1525,-0.44,3.44,171.79,0,153.54,325.33
23614,1214,1233,5.3,-2.3,-115.08,0,148.94,33.86
23629,1214,1235,5.18,-2.18,-108.97,0,144.58,35.61
23644,1209,1358,2.74,0.26,13.1,0,145.11,158.2
23659,1215,1409,1.76,1.24,61.93,0,147.58,209.51
23674,1215,1335,3.23,-0.23,-11.32,0,147.13,135.81
23689,1215,1309,3.71,-0.71,-35.73,0,145.7,109.97
23704,1215,1441,1.15,1.85,92.44,0,149.4,241.84
23718,1208,1229,5.3,-2.3,-115.08,0,144.8,29.72
23734,1215,1256,4.69,-1.69,-84.56,0,141.41,56.85
23748,1215,1253,4.69,-1.69,-84.56,0,138.03,53.47
