Starting Setup...
Data Rate : 4
Calculating Current Offset...
Current Offset: 62.43
Begging Data Collection in 2 Seconds...
"Time[ms], Throttle[1000 -> 2000], Current[A], Frequency [Hz]"
"11197,1000,0.03,90"
"11207,1000,0.02,100"
"11217,1000,-0.04,100"
"11229,1000,-0.03,83"
"11239,1000,-0.08,100"
"11249,1000,-0.10,100"
"11260,1000,-0.07,90"
"11271,1000,-0.08,90"
"11282,1000,-0.05,90"
"11292,1000,-0.03,100"
"11302,1000,-0.01,100"
"11314,1000,-0.04,83"
"11324,1000,-0.01,100"
"11334,1000,-0.01,100"
"11345,1000,0.02,90"
"11356,1000,-0.00,90"
"11366,1000,-0.02,100"
"11377,1000,0.03,90"
"11387,1000,0.00,100"
"11399,1000,0.02,83"
"11409,1000,-0.02,100"
"11419,1000,-0.02,100"
"11430,1000,-0.02,90"
"11441,1000,-0.02,90"
"11451,1000,-0.01,100"
"11462,1000,-0.03,90"
"11472,1000,-0.03,100"
"11484,1000,0.02,83"
"11494,1000,0.02,100"
"11504,1000,-0.02,100"
"11515,1000,0.01,90"
"11526,1000,0.03,90"
"11536,1000,-0.02,100"
"11547,1000,0.01,90"
"11557,1000,0.02,100"
"11568,1000,0.05,90"
"11579,1000,0.04,90"
"11589,1000,0.01,100"
"11600,1000,0.01,90"
"11611,1000,-0.03,90"
"11621,1000,-0.03,100"
"11632,1000,-0.00,90"
"11642,1000,0.02,100"
"11653,1000,-0.01,90"
"11664,1000,0.01,90"
"11674,1000,0.00,100"
"11684,1000,0.04,100"
"11696,1000,-0.00,83"
"11706,1000,0.04,100"
"11717,1000,0.02,90"
"11727,1000,0.02,100"
"11738,1000,0.02,90"
"11749,1000,0.02,90"
"11759,1000,0.02,100"
"11769,1000,0.06,100"
"11781,1000,0.02,83"
"11791,1000,0.00,100"
"11801,1000,0.02,100"
"11812,1000,-0.00,90"
"11823,1000,0.02,90"
"11834,1000,-0.00,90"
"11844,1000,0.03,100"
"11854,1000,0.02,100"
"11866,1000,0.02,83"
"11876,1000,0.05,100"
"11886,1000,0.01,100"
"11897,1000,-0.00,90"
"11908,1000,-0.00,90"
"11919,1000,-0.01,90"
"11929,1000,0.01,100"
"11939,1000,-0.01,100"
"11951,1000,-0.04,83"
"11961,1000,-0.04,100"
"11971,1000,-0.08,100"
"11982,1000,0.00,90"
"11993,1000,0.01,90"
"12003,1000,0.05,100"
"12014,1000,0.04,90"
"12024,1000,0.07,100"
"12036,1000,0.10,83"
"12046,1000,0.06,100"
"12056,1000,0.07,100"
"12067,1000,0.06,90"
"12078,1000,0.04,90"
"12088,1000,0.00,100"
"12099,1000,-0.02,90"
"12109,1000,-0.00,100"
"12120,1000,0.05,90"
"12131,1000,0.02,90"
"12141,1000,-0.02,100"
"12152,1000,0.04,90"
"12163,1000,0.03,90"
"12173,1000,0.03,100"
"12184,1000,0.00,90"
"12194,1000,-0.00,100"
"12205,1000,0.01,90"
"12216,1000,0.02,90"
"12226,1000,-0.01,100"
"12236,1000,0.03,100"
