time,in,out
9.318489260143198408e+03,-5.604295942720637080e-02,1.000000000000000000e+03
9.328501193317422803e+03,-5.000000000000000278e-02,1.000000000000000000e+03
9.338513126491647199e+03,-5.751312649164719987e-02,1.000000000000000000e+03
9.348525059665871595e+03,-3.947711000216837240e-02,1.000000000000000000e+03
9.358536992840095991e+03,-6.229116945105486747e-03,1.000000000000000000e+03
9.368548926014320386e+03,-1.219570405728154748e-02,1.000000000000000000e+03
9.378560859188544782e+03,-4.668257756563434779e-02,1.000000000000000000e+03
9.388572792362769178e+03,-5.535600636435901445e-02,1.000000000000000000e+03
9.398584725536993574e+03,-3.566109785202570964e-02,1.000000000000000000e+03
9.408596658711217970e+03,-1.000000000000000021e-02,1.000000000000000000e+03
9.418608591885442365e+03,-1.328053807767487840e-02,1.000000000000000000e+03
9.428620525059664942e+03,-1.761770449121368917e-02,1.000000000000000000e+03
9.438632458233889338e+03,-2.579735300503009296e-03,1.000000000000000000e+03
9.448644391408113734e+03,3.871121718377253107e-02,1.000000000000000000e+03
9.458656324582338129e+03,2.000000000000000042e-02,1.000000000000000000e+03
9.468668257756562525e+03,2.121501410284095529e-02,1.000000000000000000e+03
9.478680190930786921e+03,3.941852896506713166e-02,1.000000000000000000e+03
9.488692124105011317e+03,1.356693425906004696e-02,1.000000000000000000e+03
9.498704057279235712e+03,-1.611217183770713435e-02,1.000000000000000000e+03
9.508715990453460108e+03,-1.128400954653989256e-02,1.000000000000000000e+03
9.518727923627684504e+03,-1.000000000000000021e-02,1.000000000000000000e+03
9.528739856801908900e+03,-2.347971360381779712e-02,1.000000000000000000e+03
9.538751789976133296e+03,-6.375894988066647950e-02,1.000000000000000000e+03
9.548763723150357691e+03,-6.155348231720629559e-02,1.000000000000000000e+03
9.558775656324582087e+03,-3.424821002386703450e-02,1.000000000000000000e+03
9.568787589498806483e+03,-2.957517899761296504e-02,1.000000000000000000e+03
9.578799522673030879e+03,-1.818398784985963967e-02,1.000000000000000000e+03
9.588811455847255274e+03,-9.057279236276373144e-03,1.000000000000000000e+03
9.598823389021479670e+03,-3.652419179865484811e-02,1.000000000000000000e+03
9.608835322195704066e+03,-1.968973747016703260e-02,1.000000000000000000e+03
9.618847255369928462e+03,1.000000000000000021e-02,1.000000000000000000e+03
9.628859188544152858e+03,8.140811455847142553e-03,1.000000000000000000e+03
9.638871121718377253e+03,-3.118536197295422498e-03,1.000000000000000000e+03
9.648883054892601649e+03,-1.980509148766941563e-02,1.000000000000000000e+03
9.658894988066826045e+03,-2.100238663479102319e-04,1.000000000000000000e+03
9.668906921241050441e+03,9.906921241050440849e-03,1.000000000000000000e+03
9.678918854415274836e+03,9.828596224774211604e-04,1.000000000000000000e+03
9.688930787589499232e+03,-8.118897808635665292e-03,1.000000000000000000e+03
9.698942720763723628e+03,-1.000000000000000021e-02,1.000000000000000000e+03
9.708954653937948024e+03,-3.169451073985824624e-02,1.000000000000000000e+03
9.718966587112172419e+03,-1.910023866348274299e-02,1.000000000000000000e+03
9.728978520286396815e+03,-2.268821870253966144e-02,1.000000000000000000e+03
9.738990453460621211e+03,-1.910826643523415996e-02,1.000000000000000000e+03
9.749002386634845607e+03,3.502147971361045664e-02,1.000000000000000000e+03
9.759014319809070003e+03,7.498568019093000692e-02,1.000000000000000000e+03
9.769026252983294398e+03,6.581145584725467401e-02,1.000000000000000000e+03
9.779038186157518794e+03,4.480906921240603025e-02,1.000000000000000000e+03
9.789050119331743190e+03,2.220047732697275761e-02,1.000000000000000000e+03
9.799062052505967586e+03,4.443263180733166701e-02,1.000000000000000000e+03
9.809073985680190162e+03,3.942720763722801225e-02,1.000000000000000000e+03
9.819085918854414558e+03,8.000000000000000167e-02,1.000000000000000000e+03
9.829097852028638954e+03,7.700585810371195217e-02,1.000000000000000000e+03
9.839109785202863350e+03,4.978042959427330522e-02,1.000000000000000000e+03
9.849121718377087745e+03,2.955738771968092343e-02,1.000000000000000000e+03
9.859133651551312141e+03,-6.849642004771422377e-03,1.000000000000000000e+03
9.869145584725536537e+03,2.658233890214614648e-02,1.000000000000000000e+03
9.879157517899760933e+03,2.999999999999999889e-02,1.000000000000000000e+03
9.889169451073985329e+03,2.183054892601467289e-02,1.000000000000000000e+03
9.899181384248209724e+03,-2.312866131481065846e-03,1.000000000000000000e+03
9.909193317422434120e+03,-1.000000000000000021e-02,1.000000000000000000e+03
9.919205250596658516e+03,2.410501193317031443e-03,1.000000000000000000e+03
9.929217183770882912e+03,-1.486873508353164612e-02,1.000000000000000000e+03
9.939229116945107307e+03,-2.480906921241057828e-02,1.000000000000000000e+03
9.949241050119331703e+03,-3.035799522673188200e-03,1.000000000000000000e+03
9.959252983293556099e+03,7.241050119331703117e-03,1.000000000000000000e+03
9.969264916467780495e+03,-2.245606422217282655e-03,1.000000000000000000e+03
9.979276849642004890e+03,1.297895422000444610e-02,1.000000000000000000e+03
9.989288782816229286e+03,1.771121718377071524e-02,1.000000000000000000e+03
9.999300715990453682e+03,7.908440008678470357e-03,1.000000000000000000e+03
1.000931264916467808e+04,7.875894988068466926e-03,1.000000000000000000e+03
1.001932458233890247e+04,5.157083966152971322e-02,1.000000000000000000e+03
1.002933651551312687e+04,-7.552614449986404938e-03,1.000000000000000000e+03
1.003934844868735127e+04,6.526144499891829709e-02,1.000000000000000000e+03
1.004936038186157566e+04,2.319809069212169783e-02,1.000000000000000000e+03
1.005937231503580006e+04,1.147971360381812994e-02,1.000000000000000000e+03
1.006938424821002445e+04,4.048817530917982882e-02,1.000000000000000000e+03
1.007939618138424885e+04,6.479236276849770215e-02,1.000000000000000000e+03
1.008940811455847324e+04,5.653070080277592530e-02,1.000000000000000000e+03
1.009942004773269764e+04,1.147971360381416089e-02,1.000000000000000000e+03
1.010943198090692204e+04,1.338902147971649144e-02,1.000000000000000000e+03
1.011944391408114643e+04,2.505098719895778800e-02,1.000000000000000000e+03
1.012945584725536901e+04,1.108830548926198478e-02,1.000000000000000000e+03
1.013946778042959340e+04,-8.935560859186807148e-03,1.000000000000000000e+03
1.014947971360381780e+04,-1.626690533015183460e-02,1.000000000000000000e+03
1.015949164677804220e+04,-1.747494033412658535e-02,1.000000000000000000e+03
1.016950357995226659e+04,-3.317205467563657389e-02,1.000000000000000000e+03
