Starting Setup...
Data Rate : 4
Calculating Current Offset...
Current Offset: 62.45
Begging Data Collection in 2 Seconds...
"Time[ms], Throttle[1000 -> 2000], Current[A], Frequency [Hz]"
"9860,1000,-0.01,90"
"9870,1000,0.03,100"
"9881,1000,0.03,90"
"9891,1000,0.02,100"
"9902,1000,-0.01,90"
"9913,1000,-0.01,90"
"9923,1000,0.01,100"
"9933,1000,-0.03,100"
"9945,1000,-0.02,83"
"9955,1000,0.02,100"
"9965,1000,-0.01,100"
"9976,1000,0.01,90"
"9987,1000,0.02,90"
"9997,1000,0.01,100"
"10008,1000,0.00,90"
"10018,1000,0.06,100"
"10029,1000,-0.01,90"
"10040,1000,0.07,90"
"10050,1000,0.02,100"
"10061,1000,0.01,90"
"10072,1000,0.05,90"
"10082,1000,0.07,100"
"10093,1000,0.05,90"
"10103,1000,-0.01,100"
"10114,1000,0.03,90"
"10125,1000,0.02,90"
"10135,1000,0.00,100"
"10145,1000,-0.02,100"
"10157,1000,-0.01,83"
"10167,1000,-0.04,100"
"10178,1000,-0.01,90"
"10188,1000,0.01,100"
"10199,1000,0.05,90"
"10210,1000,0.05,90"
"10220,1000,0.06,100"
"10230,1000,0.00,100"
"10242,1000,-0.01,83"
"10252,1000,0.01,100"
"10262,1000,0.01,100"
"10273,1000,-0.02,90"
"10284,1000,-0.01,90"
"10295,1000,-0.07,90"
"10305,1000,-0.06,100"
"10315,1000,-0.03,100"
"10327,1000,-0.05,83"
"10337,1000,0.02,100"
"10347,1000,0.05,100"
"10358,1000,0.05,90"
"10369,1000,-0.01,90"
"10380,1000,0.04,90"
"10390,1000,-0.02,100"
"10400,1000,0.01,100"
"10412,1000,0.02,83"
"10422,1000,-0.01,100"
"10432,1000,0.03,100"
"10443,1000,0.03,90"
"10454,1000,0.05,90"
"10465,1000,-0.01,90"
"10475,1000,-0.00,100"
"10485,1000,-0.01,100"
"10497,1000,-0.03,83"
"10507,1000,0.01,100"
"10517,1000,0.03,100"
"10528,1000,-0.01,90"
"10539,1000,0.00,90"
"10550,1000,-0.01,90"
"10560,1000,-0.01,100"
"10570,1000,0.06,100"
"10582,1000,0.02,83"
"10592,1000,0.02,100"
"10602,1000,0.04,100"
"10613,1000,0.04,90"
"10624,1000,0.00,90"
"10634,1000,-0.05,100"
"10645,1000,-0.03,90"
"10655,1000,-0.03,100"
"10667,1000,-0.05,83"
"10677,1000,-0.04,100"
"10687,1000,0.00,100"
"10698,1000,0.03,90"
"10708,1000,-0.02,100"
"10719,1000,0.00,90"
"10730,1000,0.03,90"
"10740,1000,0.04,100"
"10752,1000,0.05,83"
"10762,1000,0.02,100"
"10772,1000,0.02,100"
"10783,1000,0.00,90"
"10793,1000,0.01,100"
"10804,1000,-0.01,90"
"10815,1000,0.02,90"
"10825,1000,0.03,100"
"10835,1000,0.04,100"
"10847,1000,0.06,83"
"10857,1000,0.02,100"
"10868,1000,-0.05,90"
"10878,1000,-0.00,100"
"10889,1000,-0.01,90"
"10900,1000,-0.07,90"
"10910,1000,-0.10,100"
"10920,1000,-0.06,100"
"10932,1000,-0.05,83"
"10942,1000,0.01,100"
"10953,1000,-0.02,90"
"10963,1000,-0.05,100"
"10974,1000,-0.05,90"
"10985,1000,-0.00,90"
"10995,1000,-0.01,100"
"11005,1000,-0.03,100"
"11017,1000,-0.02,83"
"11027,1000,-0.04,100"
"11038,1000,-0.03,90"
"11048,1000,-0.02,100"
"11059,1000,-0.02,90"
"11070,1000,-0.02,90"
"11080,1000,-0.04,100"
"11090,1000,-0.05,100"
"11102,1000,-0.04,83"
"11112,1000,-0.09,100"
"11123,1000,-0.07,90"
"11133,1000,-0.06,100"
"11144,1000,-0.02,90"
"11155,1000,-0.01,90"
"11165,1000,-0.03,100"
"11175,1000,-0.01,100"
"11187,1000,0.01,83"
"11197,1000,-0.01,100"
"11208,1000,0.00,90"
"11218,1000,-0.00,100"
"11229,1000,-0.02,90"
"11240,1000,0.01,90"
"11250,1000,0.03,100"
"11260,1000,0.04,100"
"11272,1000,-0.05,83"
"11282,1000,-0.02,100"
"11292,1000,-0.01,100"
"11303,1000,0.03,90"
"11314,1000,-0.02,90"
"11325,1000,0.04,90"
"11335,1000,0.01,100"
"11345,1000,0.01,100"
"11357,1000,-0.04,83"
"11367,1000,0.03,100"
"11377,1000,0.04,100"
"11388,1000,-0.02,90"
"11399,1000,-0.01,90"
"11410,1000,-0.02,90"
"11420,1000,0.01,100"
"11430,1000,-0.01,100"
"11442,1000,0.01,83"
"11452,1000,0.02,100"
"11462,1000,0.01,100"
"11473,1000,-0.04,90"
"11484,1000,-0.08,90"
"11495,1000,0.00,90"
"11505,1000,0.00,100"
"11515,1000,0.02,100"
"11527,1000,0.01,83"
"11537,1000,0.01,100"
"11547,1000,0.05,100"
"11558,1000,0.02,90"
"11569,1000,0.09,90"
"11579,1000,0.12,100"
"11590,1000,0.05,90"
"11600,1000,0.05,100"
"11612,1000,0.01,83"
"11622,1000,0.01,100"
"11632,1000,0.02,100"
"11643,1000,0.01,90"
"11654,1000,0.06,90"
"11664,1000,0.03,100"
"11675,1000,0.03,90"
"11685,1000,0.03,100"
"11697,1000,0.04,83"
"11707,1000,0.03,100"
"11717,1000,0.03,100"
"11728,1000,0.03,90"
"11739,1000,0.06,90"
"11749,1000,0.10,100"
"11760,1000,0.05,90"
"11770,1000,0.02,100"
"11781,1000,0.06,90"
"11792,1000,0.02,90"
"11802,1000,0.04,100"
"11813,1000,0.06,90"
"11824,1000,0.02,90"
"11834,1000,0.01,100"
"11845,1000,0.01,90"
"11855,1000,0.01,100"
"11866,1000,0.03,90"
"11877,1000,0.04,90"
"11887,1000,0.00,100"
"11897,1000,0.03,100"
"11909,1000,-0.03,83"
"11919,1000,0.03,100"
"11930,1000,-0.02,90"
"11940,1000,0.01,100"
"11951,1000,0.01,90"
"11962,1000,-0.01,90"
"11972,1000,0.02,100"
"11982,1000,0.04,100"
"11994,1000,0.05,83"
"12004,1000,0.00,100"
"12015,1000,-0.02,90"
"12025,1000,-0.01,100"
"12036,1000,-0.00,90"
"12047,1000,-0.02,90"
"12057,1000,-0.01,100"
"12067,1000,0.03,100"
"12079,1000,0.03,83"
"12089,1000,0.02,100"
"12100,1000,-0.01,90"
"12110,1000,-0.02,100"
"12121,1000,-0.05,90"
"12132,1000,-0.02,90"
"12142,1000,-0.06,100"
"12152,1000,-0.07,100"
"12164,1000,-0.06,83"
"12174,1000,-0.01,100"
"12184,1000,0.02,100"
"12195,1000,0.02,90"
"12206,1000,0.05,90"
"12217,1000,0.07,90"
"12227,1000,0.08,100"
"12237,1000,0.10,100"
"12249,1000,0.05,83"
"12259,1000,-0.00,100"
"12269,1000,0.02,100"
"12280,1000,-0.04,90"
"12291,1000,-0.02,90"
"12302,1000,0.02,90"
"12312,1000,0.03,100"
"12322,1000,0.02,100"
"12334,1000,0.03,83"
"12344,1000,0.02,100"
"12354,1000,0.02,100"
"12365,1000,0.08,90"
"12376,1000,0.07,90"
"12386,1000,0.02,100"
"12397,1000,-0.01,90"
"12407,1000,0.02,100"
"12419,1000,0.03,83"
"12429,1000,-0.01,100"
"12439,1000,0.01,100"
"12450,1000,0.05,90"
"12461,1000,0.01,90"
"12471,1000,0.02,100"
"12482,1000,0.02,90"
"12492,1000,0.04,100"
